python_startIndex,python_endIndex,Url,maxPage,Category,SubCategory,SubSubCategory,level_1,level_2,level_3
0,1,https://www.walmart.com/browse/sports-outdoors/ab-core-trainers/4125_4134_1026285_9642310?page=,25,Exercise and Fitness,Ab Equipment & Core Toners,Ab Machines,,,
1,2,https://www.walmart.com/browse/sports-outdoors/ab-core-trainers/4125_4134_1026285_9642310?page=,25,Exercise and Fitness,Ab Equipment & Core Toners,Ab Stimulators & Belts,,,
2,3,https://www.walmart.com/browse/sports-outdoors/ab-core-trainers/4125_4134_1026285_9642310?page=,25,Exercise and Fitness,Ab Equipment & Core Toners,Core Trainers,,,
3,4,https://www.walmart.com/browse/sports-outdoors/bjj-judo/4125_4134_8062664_9244297?page=,14,Exercise and Fitness,Combat Sports,BJJ & Judo,,,
4,5,https://www.walmart.com/browse/sports-outdoors/boxing/4125_4134_8062664_1078404?page=,25,Exercise and Fitness,Combat Sports,Boxing,,,
5,6,https://www.walmart.com/browse/sports-outdoors/karate-taekwondo/4125_4134_8062664_2713807?page=,10,Exercise and Fitness,Combat Sports,Karate & Taekwondo,,,
6,7,https://www.walmart.com/browse/sports-outdoors/mma-mixed-martial-arts/4125_4134_8062664_1078444?page=,25,Exercise and Fitness,Combat Sports,MMA, Mixed Martial Arts,,
7,8,https://www.walmart.com/browse/sports-outdoors/muay-thai/4125_4134_8062664_1602623?page=,3,Exercise and Fitness,Combat Sports,Muay Thai,,,
8,9,https://www.walmart.com/browse/sports-outdoors/wrestling/4125_4134_8062664_5465754?page=,5,Exercise and Fitness,Combat Sports,Wrestling,,,
9,10,https://www.walmart.com/browse/sports-outdoors/ellipticals/4125_4134_1074324_1074325?page=,6,Exercise and Fitness,Exercise Machines,Ellipticals,,,
10,11,https://www.walmart.com/browse/sports-outdoors/exercise-bikes/4125_4134_1074324_1074327?page=,25,Exercise and Fitness,Exercise Machines,Exercise Bikes,,,
11,12,https://www.walmart.com/browse/sports-outdoors/rowing-machines/4125_4134_1074324_2725361?page=,16,Exercise and Fitness,Exercise Machines,Rowing Machines,,,
12,13,https://www.walmart.com/browse/sports-outdoors/steppers/4125_4134_1074324_1074329?page=,23,Exercise and Fitness,Exercise Machines,Steppers,,,
13,14,https://www.walmart.com/browse/sports-outdoors/treadmills/4125_4134_1074324_1074326?page=,25,Exercise and Fitness,Exercise Machines,Treadmills,,,
14,15,https://www.walmart.com/browse/sports-outdoors/dip-stations/4125_4134_1026285_2589001?page=,25,Exercise and Fitness,Strength & Weight Training,Dip Stations,,,
15,16,https://www.walmart.com/browse/sports-outdoors/home-gyms/4125_4134_1074324_1074328?page=,25,Exercise and Fitness,Strength & Weight Training,Home Gyms,,,
16,17,https://www.walmart.com/browse/sports-outdoors/kettlebells/4125_4134_1026285_1078284_1078286?page=,11,Exercise and Fitness,Strength & Weight Training,Kettlebells,,,
17,18,https://www.walmart.com/browse/sports-outdoors/power-racks/4125_4134_1026285_2993689?page=,9,Exercise and Fitness,Strength & Weight Training,Power Racks,,,
18,19,https://www.walmart.com/browse/sports-outdoors/weight-benches/4125_4134_1026285_49039?page=,25,Exercise and Fitness,Strength & Weight Training,Weight Benches,,,
19,20,https://www.walmart.com/browse/sports-outdoors/weight-lifting-accessories/4125_4134_1026285_7482840?page=,25,Exercise and Fitness,Strength & Weight Training,Weight Lifting Accessories,,,
20,21,https://www.walmart.com/browse/sports-outdoors/weight-plates/4125_4134_1026285_1078284_1078287?page=,9,Exercise and Fitness,Strength & Weight Training,Weight Plates,,,
21,22,https://www.walmart.com/browse/sports-outdoors/weights/4125_4134_1026285_1078284?page=,25,Exercise and Fitness,Strength & Weight Training,Weights,,,
22,23,https://www.walmart.com/browse/sports-outdoors/foam-rollers/4125_4134_3523130_8200402_7096475?page=,22,Exercise and Fitness,Sports Recovery,Foam Rollers,,,
23,24,https://www.walmart.com/browse/sports-outdoors/inversion-equipment/4125_4134_3523130_8291619?page=,9,Exercise and Fitness,Sports Recovery,Inversion Equipment,,,
24,25,https://www.walmart.com/browse/sports-outdoors/massage-equipment/4125_4134_3523130_9362276?page=,25,Exercise and Fitness,Sports Recovery,Massage Equipment,,,
25,26,https://www.walmart.com/browse/sports-outdoors/sports-medicine/4125_4134_3523130_8200402?page=,25,Exercise and Fitness,Sports Recovery,Sports Medicine,,,
26,27,https://www.walmart.com/browse/sports-outdoors/recovery-technology/4125_4134_3523130_1377912?page=,5,Exercise and Fitness,Sports Recovery,Recovery Technology,,,
27,28,https://www.walmart.com/browse/sports-outdoors/yoga-mats/4125_4134_1078384_1078386?page=,25,Exercise and Fitness,Yoga & Pilates,Yoga Mats,,,
28,29,https://www.walmart.com/browse/sports-outdoors/yoga-mat-bags/4125_4134_1078384_1867162?page=,25,Exercise and Fitness,Yoga & Pilates,Yoga Mat Bags,,,
29,30,https://www.walmart.com/browse/sports-outdoors/yoga-bolsters/4125_4134_1078384_4692089?page=,5,Exercise and Fitness,Yoga & Pilates,Yoga Bolsters,,,
30,31,https://www.walmart.com/browse/sports-outdoors/yoga-straps/4125_4134_1078384_3698093?page=,25,Exercise and Fitness,Yoga & Pilates,Yoga Straps,,,
31,32,https://www.walmart.com/browse/sports-outdoors/yoga-swings/4125_4134_1078384_5544095?page=,1,Exercise and Fitness,Yoga & Pilates,Yoga Swings,,,
32,33,https://www.walmart.com/browse/sports-outdoors/pilates-reformers/4125_4134_1078384_1078395?page=,7,Exercise and Fitness,Yoga & Pilates,Pilates Reformers,,,
33,34,https://www.walmart.com/browse/sports-outdoors/pilates-mats/4125_4134_1078384_8322693?page=,25,Exercise and Fitness,Yoga & Pilates,Pilates Mats,,,
34,35,https://www.walmart.com/browse/sports-outdoors/pilates-rings/4125_4134_1078384_3654962?page=,11,Exercise and Fitness,Yoga & Pilates,Pilates Rings,,,
35,36,https://www.walmart.com/browse/sports-outdoors/yoga-pilates-bands/4125_4134_1078384_2667756?page=,14,Exercise and Fitness,Yoga & Pilates,Pilates Stretch Bands,,,
36,37,https://www.walmart.com/browse/sports-outdoors/rebounders/4125_1224931_5230_4343515?page=,7,Exercise and Fitness,Rebounder Trampolines,Rebounder Trampolines,,,
37,38,https://www.walmart.com/m/commercial-fitness-equipment?page=,6,Exercise and Fitness,Commercial Fitness Equipment,,,,
38,39,https://www.walmart.com/browse/sports-outdoors/ankle-weights/4125_4134_1078104_1078289?page=,13,Exercise and Fitness Accessories,Ankle & Wrist Weights,Ankle & Wrist Weights,,,
39,40,https://www.walmart.com/browse/sports-outdoors/balance-balls/4125_4134_1078104_2513029?page=,15,Exercise and Fitness Accessories,Balance Trainers,Balance Trainers,,,
40,41,https://www.walmart.com/browse/sports-outdoors/battle-ropes/4125_4134_2760213_6416684?page=,10,Exercise and Fitness Accessories,Battle Ropes,Battle Ropes,,,
41,42,https://www.walmart.com/browse/sports-outdoors/exercise-sliders/4125_4134_1078104_1892125?page=,11,Exercise and Fitness Accessories,Core Sliders,Core Sliders,,,
42,43,https://www.walmart.com/browse/sports-outdoors/exercise-balls/4125_4134_1078104_1078124?page=,25,Exercise and Fitness Accessories,Exercise Balls,Exercise Balls,,,
43,44,https://www.walmart.com/browse/sports-outdoors/exercise-mats/4125_4134_1078384_1078148?page=,25,Exercise and Fitness Accessories,Exercise Mats,Exercise Mats,,,
44,45,https://www.walmart.com/browse/sports-outdoors/foam-rollers/4125_4134_3523130_7096475?page=,22,Exercise and Fitness Accessories,Foam Rollers,Foam Rollers,,,
45,46,https://www.walmart.com/browse/sports-outdoors/jump-ropes/4125_4134_1078104_1078147?page=,25,Exercise and Fitness Accessories,Jump Ropes,Jump Ropes,,,
46,47,https://www.walmart.com/browse/sports-outdoors/medicine-balls/4125_4134_1078104_3080353?page=,8,Exercise and Fitness Accessories,Medicine Balls,Medicine Balls,,,
47,48,https://www.walmart.com/browse/sports-outdoors/plyo-boxes/4125_4134_2760213_4009489?page=,3,Exercise and Fitness Accessories,Plyo Boxes,Plyo Boxes,,,
48,49,https://www.walmart.com/browse/sports-outdoors/pull-up-bars/4125_4134_1078104_2654442?page=,25,Exercise and Fitness Accessories,Pull,Pull-up Bars,,,
49,50,https://www.walmart.com/browse/sports-outdoors/push-up-bars/4125_4134_1078104_2250975?page=,18,Exercise and Fitness Accessories,Push,Push-up Bars,,,
50,51,https://www.walmart.com/browse/sports-outdoors/exercise-resistance-bands/4125_4134_1078104_9133250?page=,25,Exercise and Fitness Accessories,Resistance Bands,Resistance Bands,,,
51,52,https://www.walmart.com/browse/sports-outdoors/running-armbands/4125_4134_1078104_8570146_2812957?page=,25,Exercise and Fitness Accessories,Running Armbands,Running Armbands,,,
52,53,https://www.walmart.com/browse/sports-outdoors/running-belts/4125_4134_1078104_8570146_4239673?page=,25,Exercise and Fitness Accessories,Running Belts,Running Belts,,,
53,54,https://www.walmart.com/browse/sports-outdoors/sauna-suits/4125_4134_1078104_5938428?page=,4,Exercise and Fitness Accessories,Sauna Suits,Sauna Suits,,,
54,55,https://www.walmart.com/browse/sports-outdoors/slam-balls/4125_4134_1078104_7682597?page=,1,Exercise and Fitness Accessories,Slam Balls,Slam Balls,,,
55,56,https://www.walmart.com/browse/sports-outdoors/aerobic-step-platforms/4125_4134_1078104_1078165?page=,19,Exercise and Fitness Accessories,Step Platforms,Step Platforms,,,
56,57,https://www.walmart.com/browse/sports-outdoors/vibration-plates/4125_4134_1078104_3612024?page=,25,Exercise and Fitness Accessories,Vibration Plates,Vibration Plates,,,
57,58,https://www.walmart.com/browse/sports-outdoors/waist-trainers/4125_4134_1078104_1695336?page=,25,Exercise and Fitness Accessories,Waist Trainers,Waist Trainers,,,
58,59,https://www.walmart.com/browse/sports-outdoors/athletic-tape/4125_4134_3523130_8200402_5107623?page=,4,Sports Recovery,Sports Medicine,Athletic Tape,,,
59,60,https://www.walmart.com/browse/sports-outdoors/compression-sleeves/4125_4134_3523130_8200402_7134513?page=,25,Sports Recovery,Sports Medicine,Compression Sleeves,,,
60,61,https://www.walmart.com/browse/sports-outdoors/compression-socks/4125_4134_3523130_8200402_9215792?page=,25,Sports Recovery,Sports Medicine,Compression Socks,,,
61,62,https://www.walmart.com/browse/sports-outdoors/kinesiology-tape/4125_4134_3523130_8200402_6612968?page=,10,Sports Recovery,Sports Medicine,Kinesiology Tape,,,
62,63,https://www.walmart.com/browse/sports-outdoors/sports-braces/4125_4134_3523130_8200402_9682761?page=,11,Sports Recovery,Sports Medicine,Sports Braces,,,
63,64,https://www.walmart.com/browse/sports-outdoors/foam-rollers/4125_4134_3523130_8200402_7096475?page=,22,Sports Recovery,Foam Rollers,Foam Rollers,,,
64,65,https://www.walmart.com/browse/sports-outdoors/massage-balls/4125_4134_3523130_8200402_2526271?page=,25,Sports Recovery,Foam Rollers,Massage Balls,,,
65,66,https://www.walmart.com/browse/sports-outdoors/back-stretchers/4125_4134_3523130_8291619_8877085?page=,1,Sports Recovery,Inversion Tables,Back Stretchers,,,
66,67,https://www.walmart.com/browse/sports-outdoors/gravity-boots/4125_4134_3523130_8291619_2618881?page=,1,Sports Recovery,Inversion Tables,Gravity Boots,,,
67,68,https://www.walmart.com/browse/sports-outdoors/inversion-tables/4125_4134_3523130_8291619?page=,9,Sports Recovery,Inversion Tables,Inversion Tables,,,
68,69,https://www.walmart.com/browse/sports-outdoors/massage-accessories/4125_4134_3523130_9362276_8508614?page=,11,Sports Recovery,Massage Equipment,Massage Accessories,,,
69,70,https://www.walmart.com/browse/sports-outdoors/massage-bolsters/4125_4134_3523130_9362276_1376454?page=,3,Sports Recovery,Massage Equipment,Massage Bolsters,,,
70,71,https://www.walmart.com/browse/sports-outdoors/massage-tables/4125_4134_3523130_9362276_1668694?page=,25,Sports Recovery,Massage Equipment,Massage Tables,,,
71,72,https://www.walmart.com/browse/sports-outdoors/massage-table-warmers/4125_4134_3523130_9362276_3885778?page=,1,Sports Recovery,Massage Equipment,Massage Table Warmers,,,
72,73,https://www.walmart.com/browse/sports-outdoors/recovery-technology/4125_4134_3523130_1377912?page=,5,Sports Recovery,Recovery Technology,Recovery Technology,,,
73,74,https://www.walmart.com/browse/sports-outdoors/yoga-mats/4125_4134_1078384_1078386?page=,25,Yoga,Yoga Mats,Yoga Mats,,,
74,75,https://www.walmart.com/browse/sports-outdoors/exercise-mats/4125_4134_1078104_1078148?page=,25,Yoga,Exercise Mats,Exercise Mats,,,
75,76,https://www.walmart.com/browse/sports-outdoors/yoga-mat-bags/4125_4134_1078384_1867162?page=,25,Yoga,Yoga Accessories,Yoga Mat Bags,,,
76,77,https://www.walmart.com/browse/sports-outdoors/yoga-blocks/4125_4134_1078384_1078393?page=,25,Yoga,Yoga Accessories,Yoga Blocks,,,
77,78,https://www.walmart.com/browse/sports-outdoors/yoga-bolsters/4125_4134_1078384_4692089?page=,5,Yoga,Yoga Accessories,Yoga Bolsters,,,
78,79,https://www.walmart.com/browse/sports-outdoors/yoga-wheels/4125_4134_1078384_2350071?page=,7,Yoga,Yoga Accessories,Yoga Wheels,,,
79,80,https://www.walmart.com/browse/sports-outdoors/yoga-straps/4125_4134_1078384_3698093?page=,25,Yoga,Yoga Accessories,Yoga Straps,,,
80,81,https://www.walmart.com/browse/sports-outdoors/yoga-blankets/4125_4134_1078384_2088386?page=,7,Yoga,Yoga Accessories,Yoga Blankets,,,
81,82,https://www.walmart.com/browse/sports-outdoors/yoga-towels/4125_4134_1078384_5259810?page=,17,Yoga,Yoga Accessories,Yoga Towels,,,
82,83,https://www.walmart.com/browse/sports-outdoors/exercise-balls/4125_4134_1078104_1078124?page=,25,Yoga,Yoga Accessories,Yoga Balls,,,
83,84,https://www.walmart.com/browse/sports-outdoors/yoga-kits/4125_4134_1078384_1078388?page=,9,Yoga,Yoga Kits,Yoga Kits,,,
84,85,https://www.walmart.com/browse/sports-outdoors/yoga-towels/4125_4134_1078384_5259810?page=,17,Yoga,Yoga Swings,Yoga Swings,,,
85,86,https://www.walmart.com/browse/sports-outdoors/yoga-socks/4125_4134_1078384_5701372?page=,25,Yoga,Yoga Clothing,Yoga Socks,,,
86,87,https://www.walmart.com/browse/sports-outdoors/yoga-gloves/4125_4134_1078384_2582455?page=,4,Yoga,Yoga Clothing,Yoga Gloves,,,
87,88,https://www.walmart.com/browse/clothing/womens-activewear-sweatshirts-hoodies/5438_133162_3554910_2079031?page=,21,Yoga,Yoga Clothing,Activewear Sweatshirts & Hoodies,,,
88,89,https://www.walmart.com/browse/clothing/womens-activewear-jackets/5438_133162_3554910_7381557?page=,21,Yoga,Yoga Clothing,Activewear Jackets,,,
89,90,https://www.walmart.com/browse/sports-outdoors/pilates-reformers/4125_4134_1078384_1078395?page=,7,Yoga,Pilates,Pilates Reformers,,,
90,91,https://www.walmart.com/browse/sports-outdoors/pilates-equipment/4125_4134_1078384_6366511?page=,6,Yoga,Pilates,Pilates Reformer Equipment,,,
91,92,https://www.walmart.com/browse/sports-outdoors/pilates-mats/4125_4134_1078384_8322693?page=,25,Yoga,Pilates,Pilates Mats,,,
92,93,https://www.walmart.com/browse/sports-outdoors/pilates-rings/4125_4134_1078384_3654962?page=,11,Yoga,Pilates,Pilates Rings,,,
93,94,https://www.walmart.com/browse/sports-outdoors/pilates-bands/4125_4134_1078384_2667756?page=,14,Yoga,Pilates,Pilates Bands,,,
94,95,https://www.walmart.com/browse/sports-outdoors/pilates-balls/4125_4134_1078384_8176532?page=,1,Yoga,Pilates,Pilates Balls,,,
95,96,https://www.walmart.com/browse/sports-outdoors/meditation-cushions/4125_4134_1078384_7620299?page=,1,Yoga,Meditation Cushions,Meditation Cushions,,,
96,97,https://www.walmart.com/browse/sports-outdoors/ballet-barre/4125_4134_1078384_1255437?page=,1,Yoga,Ballet Barre,Ballet Barre,,,